size in Bytes
ID;Name;Size;CRC32;MD5;Serial;#Trusted;Status
"0632";"Rockman Dash - Hagane no Boukenshin (Japan)";"33554432";"61EAEE83";"0C74B44680276FFE808CFA6045329819";"NRHJ NUS-NRHJ-JPN";1;"Trusted"
"0633";"RR64 - Ridge Racer 64 (Europe)";"33554432";"DD9AE3A8";"4561840840760FFA7B59F03A5F416A5C";"NRZP NUS-NRZP-EUR, NUS-NRZP-AUS";2;"Verified"
"0634";"RR64 - Ridge Racer 64 (USA)";"33554432";"3C2C2D1C";"990F97D56456FC23E52BD263E709E21E";"NRZE ";0;"Not verified"
"0635";"RTL World League Soccer 2000 (Germany)";"16777216";"0A17DA7B";"A1082A6676455C040843FD75E92DE1A3";"NWKD NWKD";1;"Trusted"
"0636";"Rugrats - Die grosse Schatzsuche (Germany)";"16777216";"23AED3A2";"DEC4598A39728C28CD0CEBA45A173CE1";"NRGD NUS-NRGD-NOE";1;"Trusted"
"0637";"Rugrats - Scavenger Hunt (USA)";"16777216";"A87FAF82";"8C432235A57D34BC4A9B8B290E21E01E";"NRGE ";0;"Not verified"
"0638";"Rugrats - Treasure Hunt (Europe)";"16777216";"3338B7C8";"55185016031CDC73C0FD471527C35706";"NRGP NUS-NRGP-UKV";1;"Trusted"
"0639";"Rugrats in Paris - The Movie (Europe)";"16777216";"CD74B07E";"229089089661F517C863242D6BB77746";"NRKP NUS-NRKP-EUR-1";1;"Trusted"
"0640";"Rugrats in Paris - The Movie (USA)";"16777216";"A9CC2419";"207EFE58C7C221DBDFFF285AB80126C1";"NRKE ";0;"Not verified"
"0641";"Rush 2 - Extreme Racing USA (Europe) (En,Fr,De,Es,It,Nl)";"12582912";"30F21F89";"681DF5A32E857E77194106B35304D6B5";"NR2P NUS-NR2P-EUR";1;"Trusted"
"0642";"Rush 2 - Extreme Racing USA (USA)";"12582912";"9EB14EA8";"6A925AB624EE3B343231D799733BA898";"NR2E ";0;"Not verified"
"0643";"S.C.A.R.S. (Europe) (En,Fr,De)";"8388608";"4E37B6F2";"7ED3F10BC32CF76F172D8C31D15A2799";"NCSP NUS-NCSP-EUR";1;"Trusted"
"0644";"S.C.A.R.S. (USA)";"8388608";"22916735";"D0AA9D20A4B85FE514D2A3150D0133EA";"NCSE ";0;"Not verified"
"0645";"Saikyou Habu Shougi (Japan)";"8388608";"01794D62";"C4E47228706BC724D7FBD811231D20C9";"NSHJ NUS-NSHJ-JPN";1;"Trusted"
"0646";"San Francisco Rush - Extreme Racing (Europe) (En,Fr,De)";"8388608";"E064962A";"81B1122EE15F7B50A341AE62E9C5716B";"NSFP NUS-NSFP-NOE";1;"Trusted"
"0647";"San Francisco Rush - Extreme Racing (USA) (En,Fr,De)";"8388608";"3E20070B";"F015FC28E1D62A36B4EBF4C79CA8F285";"NSFE ";0;"Not verified"
"0648";"San Francisco Rush 2049 (Europe) (En,Fr,De,Es,It,Nl)";"12582912";"E63B86C5";"02B16AC23998F78F09AF6513F4ACB664";"NRUP NUS-NRUP-EUR";1;"Trusted"
"0649";"San Francisco Rush 2049 (USA)";"12582912";"10941439";"AF5BE0ADFF51A8E9C6D771282C295810";"NRUE ";0;"Not verified"
"0650";"Scooby-Doo! - Classic Creep Capers (Europe)";"16777216";"0D737E6F";"3B6DD7B60437234895500BEFF28DF6D6";"NSYP NUS-NSYP-EUR";1;"Trusted"
"0651";"Scooby-Doo! - Classic Creep Capers (USA)";"16777216";"39068228";"16CC6DB10A56331B56F374B4FB254D5E";"NSYE ";0;"Not verified"
"0652";"SD Hiryuu no Ken Densetsu (Japan)";"12582912";"CC083E34";"637A7EA2A39F20C5B20834187230D89D";"NDCJ NUS-NDCJ-JPN";1;"Trusted"
"0653";"Shadow Man (Europe) (En,Es,It)";"33554432";"8D230306";"A485A6E9E30B7D55D23D8DD043770C64";"NSDP NUS-NSDP-EUR";1;"Trusted"
"0654";"Shadow Man (France)";"33554432";"6812D3A7";"235511BBDB21AF5A767BDB7502A80F06";"NSDF ";0;"Not verified"
"0655";"Shadow Man (Germany)";"33554432";"EAF6ADD1";"AF40EF12CE923FF1C26E76CC9D9B9ED9";"NSDD NSDD";1;"Trusted"
"0656";"Shadow Man (USA)";"33554432";"5E20CC63";"B457298B87B85BBF950F24867DAA9475";"NSDE ";0;"Not verified"
